compound,AP,count
angiogenesis inhibitor/tumor necrosis factor production inhibitor,-0.00023544368918443007,9
angiotensin converting enzyme inhibitor,0.0040752948027501035,43
angiotensin receptor antagonist,0.0010841803691845212,29
anthelmintic agent,0.0051501827353109325,10
antimalarial agent,0.0020483824590587065,10
antithyroid agent,-0.0002387702145161921,10
aromatase inhibitor,0.0012449338512347725,20
bacterial 50S ribosomal subunit inhibitor,0.010420844694944613,10
bacterial DNA gyrase inhibitor,0.0006896000789659091,31
bacterial antifolate,0.0012391701645381842,10
bacterial cell wall synthesis inhibitor,0.0013310014479305707,41
benzodiazepine receptor agonist,0.001736392861069781,24
benzodiazepine receptor antagonist,1.0999338784737684e-05,12
c-Met inhibitor,0.0018135217237516769,10
calcitonin antagonist,0.0008244833866586242,15
calcium channel blocker,0.0006659620002252396,62
calmodulin antagonist,0.0026089662265985553,7
cannabinoid receptor agonist,0.0009721883107131824,12
cannabinoid receptor antagonist,0.0006772230388675482,10
cannabinoid receptor inverse agonist,0.0005488517227807408,10
carbonic anhydrase inhibitor,0.001382267712468671,17
carnitine palmitoyltransferase inhibitor,0.0072662613770186225,10
cathepsin inhibitor,-0.00012727670071810857,10
chelating agent,0.004386492870957571,20
cholesterol inhibitor,0.003781442162149433,19
coagulation factor inhibitor,-0.0001804188761250861,15
cyclooxygenase inhibitor,0.003090927314125805,118
cyclooxygenase inhibitor/prostanoid receptor antagonist,0.0011136970256172864,16
cytochrome P450 inhibitor,0.00028839924614519174,20
dehydrogenase inhibitor/inositol monophosphatase inhibitor,0.7142554160545904,10
diacylglycerol O acyltransferase inhibitor,0.004407041317343244,15
dihydrofolate reductase inhibitor,0.04938911927746703,20
dihydroorotate dehydrogenase inhibitor,0.0055150247336349335,15
dipeptidyl peptidase inhibitor,0.002330197284322368,20
diuretic,0.0004302927836055191,10
dopamine receptor agonist,0.001274196061208026,47
dopamine receptor antagonist,0.0020675561007268113,79
dopamine receptor antagonist/serotonin receptor antagonist,0.0010443638951317883,47
dopamine reuptake inhibitor,0.0008674680110173371,20
elastase inhibitor,0.0006066891356384478,10
endothelin receptor antagonist,0.000248367244390969,17
estrogen receptor agonist,0.0005848622402303095,19
estrogen receptor antagonist/selective estrogen receptor modulator (SERM),0.003949749219545712,15
farnesyltransferase inhibitor,0.0016101351329011286,15
fatty acid synthase inhibitor,0.002731622283053789,10
focal adhesion kinase inhibitor,0.04604439419171191,7
free radical scavenger,0.0033101253258107526,19
fungal squalene epoxidase inhibitor,0.0014526099332509035,17
gamma secretase inhibitor,0.0073922735467446855,24
glucocorticoid receptor agonist,0.08744607767486064,25
glucose dependent insulinotropic receptor agonist,0.0011668048023191423,15
glucosidase inhibitor,0.0004375272939329631,10
glutamate receptor agonist,0.0004102586903008712,20
glutamate receptor antagonist,0.0017517042866617902,35
glutamate receptor modulator,0.00047645052053026555,11
glycine transporter inhibitor,0.00041054331895217406,15
gonadotropin releasing factor hormone receptor agonist,0.005480602853779881,10
growth hormone secretagogue receptor agonist,0.0005511979722964866,9
guanylate cyclase stimulant,-0.00010602227767150923,10
hepatocyte growth factor receptor inhibitor,0.0004644631453120516,10
histamine receptor agonist,0.008859337862097057,14
histamine receptor antagonist,0.003912133902561788,103
histamine receptor modulator,0.0002628626939761384,10
hypoxia inducible factor inhibitor,0.014037986221803272,10
immunostimulant,0.0011408696609001945,10
immunosuppressant,0.00030600833138368474,10
inosine monophosphate dehydrogenase inhibitor,0.02232711520862065,10
insulin secretagogue,0.000983771409756428,22
insulin sensitizer,0.000661865395407123,14
insulin sensitizer/PPAR receptor agonist,2.787063430050973e-06,10
integrin antagonist,0.0016021219168777933,24
isocitrate dehydrogenase inhibitor,0.00020581997265128679,10
leukotriene receptor antagonist,0.0039074156723858874,20
leukotriene synthesis inhibitor,0.0018362422020510895,10
lipase inhibitor,0.000653247777623481,10
lipid peroxidase inhibitor,0.0003158804049182573,10
lipoxygenase inhibitor,0.0020432512162962694,15
mTOR inhibitor,0.14018205976859516,20
mTOR inhibitor/PI3K inhibitor,0.31924734101433155,30
matrix metalloprotease inhibitor,-0.00010278137463309042,10
membrane permeability inhibitor,7.116418448340438e-05,10
microtubule inhibitor,0.00026692019037646397,9
monoamine oxidase inhibitor,0.006581592384054469,24
mucolytic agent,0.00043680067430583853,10
neprilysin inhibitor,0.00033174998473605284,9
neurotrophic agent,0.0015980407151050245,10
nitric oxide stimulant,-0.00026643002764167883,10
nitric oxide synthase inhibitor,0.00015819807336927048,20
non-nucleoside reverse transcriptase inhibitor,0.00027365463133688486,24
nucleoside reverse transcriptase inhibitor,0.0010842764262374623,19
opioid receptor agonist,0.003494402661444959,15
opioid receptor antagonist,-0.00039148089134962544,15
p38 MAPK inhibitor,0.006440609436795985,35
phosphodiesterase inhibitor,0.004519575333837664,161
platelet activating factor receptor antagonist,0.00036243770774305997,10
potassium channel activator,0.0002934457259210417,22
potassium channel blocker,0.005276168876534927,30
progesterone receptor agonist,0.006557565586040484,10
prostanoid receptor agonist,0.03081849300927436,10
prostanoid receptor antagonist,0.0023745478068899263,19
proteasome inhibitor,0.5166982609472694,20
protein synthesis inhibitor,0.15397055636283624,14
protein synthesis stimulant,0.00013252795842877,10
protein tyrosine kinase inhibitor,0.0012338232087710853,10
purine antagonist,0.9605483880967323,9
renin inhibitor,0.004375477204636951,10
retinoid receptor agonist,0.015545304492976416,33
rho associated kinase inhibitor,0.001910805464583866,20
ribonucleotide reductase inhibitor,0.027848097587920433,20
selective serotonin reuptake inhibitor (SSRI),0.0012546642820346107,22
serotonin receptor agonist,0.00025357995786882005,45
serotonin receptor agonist/serotonin receptor antagonist,0.002164581017515088,15
serotonin receptor antagonist,0.0020454532006942963,48
serotonin reuptake inhibitor,0.004062597159357844,9
serotonin transporter (SERT) inhibitor,0.0019564276050793865,10
sigma receptor antagonist,0.000706539478973023,20
sodium channel blocker,0.000660106295562648,45
sodium/glucose cotransporter inhibitor,0.002466487029097844,10
sodium/potassium/chloride transporter inhibitor,-6.9112755992574755e-06,15
sterol demethylase inhibitor,-0.0002719767704430095,19
sulfonylurea,0.0018531371368514342,10
tachykinin antagonist,0.0034510317997751287,24
thromboxane receptor antagonist,-9.625044785436917e-05,15
thromboxane synthase inhibitor,0.024804756184476896,15
thymidylate synthase inhibitor,0.0009400026633187917,10
topoisomerase inhibitor,0.09588062928411671,67
tricyclic antidepressant,0.0001028491001947157,7
tryptophan hydroxylase inhibitor,0.0005167769137939313,10
tubulin polymerization inhibitor,0.251237619041308,35
tumor necrosis factor release inhibitor,0.0005818408528008402,10
tyrosinase inhibitor,0.0007183692664523286,10
tyrosine kinase inhibitor,-5.131027751645716e-05,24
vasopressin receptor antagonist,-0.00022296565690433718,17
vesicular monoamine transporter inhibitor,-0.00016692499784403927,10
vitamin D receptor agonist,0.0014648081534893668,20
vitamin K antagonist,0.0006954904229130437,10
voltage-gated sodium channel blocker,0.02524685678518016,15
xanthine oxidase inhibitor,0.0030678331251311752,19
