compound,AP,count
benzodiazepine receptor agonist,0.0005122924714074206,24
benzodiazepine receptor antagonist,-5.6222090682536544e-05,12
c-Met inhibitor,0.0006075962098764205,10
calcitonin antagonist,0.004811448995534675,15
calcium channel blocker,0.00033468514983608515,62
calmodulin antagonist,-5.0176708015554465e-05,7
cannabinoid receptor agonist,0.01135605019750026,12
cannabinoid receptor antagonist,0.0005310220194070025,10
cannabinoid receptor inverse agonist,0.0006486740082199682,10
carbonic anhydrase inhibitor,0.00108369305551845,17
carnitine palmitoyltransferase inhibitor,0.003979314971003092,10
cathepsin inhibitor,0.0032354507789792916,10
chelating agent,0.001386167880240778,20
cholesterol inhibitor,0.0034835474831471465,19
coagulation factor inhibitor,0.0032398690258025387,15
cyclooxygenase inhibitor,0.010398514806467965,118
cyclooxygenase inhibitor/prostanoid receptor antagonist,0.0015616165964597033,16
cytochrome P450 inhibitor,0.0015499664360560405,20
dehydrogenase inhibitor/inositol monophosphatase inhibitor,0.9844883105177173,10
diacylglycerol O acyltransferase inhibitor,0.03029490718741697,15
dihydrofolate reductase inhibitor,0.1628492838416924,20
dihydroorotate dehydrogenase inhibitor,0.011872963773246764,15
dipeptidyl peptidase inhibitor,-0.00028687137743121477,20
diuretic,0.001869048814014221,10
dopamine receptor agonist,0.001761288678482825,47
dopamine receptor antagonist,0.017806451069025567,79
dopamine receptor antagonist/serotonin receptor antagonist,0.0017500059163595139,47
dopamine reuptake inhibitor,-0.00017877471154092552,20
elastase inhibitor,-0.0002526744062428359,10
endothelin receptor antagonist,0.001676256016047667,17
estrogen receptor agonist,0.0017921789078483702,19
estrogen receptor antagonist/selective estrogen receptor modulator (SERM),0.034520556526127004,15
farnesyltransferase inhibitor,0.004010867933781767,15
fatty acid synthase inhibitor,0.0026620996778108216,10
focal adhesion kinase inhibitor,0.1259276575157808,7
free radical scavenger,0.0013776691348943073,19
fungal squalene epoxidase inhibitor,0.005286795707392954,17
gamma secretase inhibitor,0.0008702668739721788,24
glucocorticoid receptor agonist,0.02025196461537058,25
glucose dependent insulinotropic receptor agonist,0.044687830791568364,15
glucosidase inhibitor,0.00020950193417277615,10
glutamate receptor agonist,0.0006155243021378845,20
glutamate receptor antagonist,0.0034961530621068493,35
glutamate receptor modulator,1.2314371497195588e-05,11
glycine transporter inhibitor,0.0009667455983423731,15
gonadotropin releasing factor hormone receptor agonist,0.00024809440812783917,10
growth hormone secretagogue receptor agonist,8.321622638769845e-06,9
guanylate cyclase stimulant,0.002836412466694378,10
hepatocyte growth factor receptor inhibitor,2.5484554151020686e-05,10
histamine receptor agonist,-0.00010244420888399021,14
histamine receptor antagonist,0.006948753337504366,103
histamine receptor modulator,0.0003869694745768044,10
hypoxia inducible factor inhibitor,1.5699424083520098e-05,10
immunostimulant,0.0018700233819336318,10
immunosuppressant,0.00018844826920298073,10
inosine monophosphate dehydrogenase inhibitor,0.18947737874501666,10
insulin secretagogue,0.00016906826942043475,22
insulin sensitizer,-2.879291558240782e-05,14
insulin sensitizer/PPAR receptor agonist,-0.00021510602343046952,10
integrin antagonist,0.0026459729480382984,24
isocitrate dehydrogenase inhibitor,0.06443452090713228,10
leukotriene receptor antagonist,0.005165047989975001,20
leukotriene synthesis inhibitor,0.019779001018352445,10
lipase inhibitor,0.0007415280666733192,10
lipid peroxidase inhibitor,-0.00032511226680858885,10
lipoxygenase inhibitor,1.8205999708517618e-05,15
mTOR inhibitor,0.19543707545530534,20
mTOR inhibitor/PI3K inhibitor,0.25335943045543685,30
matrix metalloprotease inhibitor,0.0004917033715576129,10
membrane permeability inhibitor,0.005347784897609768,10
microtubule inhibitor,0.0010740623038168991,9
monoamine oxidase inhibitor,0.01155376124987745,24
mucolytic agent,0.0001294567316751676,10
neprilysin inhibitor,0.0003511889998702117,9
nitric oxide stimulant,8.434426777790627e-06,10
nitric oxide synthase inhibitor,0.0020073977658610007,20
non-nucleoside reverse transcriptase inhibitor,0.003665231128748504,24
nucleoside reverse transcriptase inhibitor,0.0021072190359927557,19
opioid receptor agonist,-0.00023507094790566584,15
opioid receptor antagonist,0.0007190060332711033,15
p38 MAPK inhibitor,0.007607318749245433,35
phosphodiesterase inhibitor,0.010938804253074268,161
platelet activating factor receptor antagonist,-0.0002821160944993424,10
potassium channel activator,0.007322060840394817,22
potassium channel blocker,0.0005242304989111626,30
progesterone receptor agonist,0.00019358329590447277,10
prostanoid receptor agonist,0.105145658588725,10
prostanoid receptor antagonist,0.00247602350061825,19
proteasome inhibitor,0.698013018543284,20
protein synthesis inhibitor,0.2739558226933401,14
protein synthesis stimulant,0.00280451856637589,10
protein tyrosine kinase inhibitor,0.0012175895927387123,10
purine antagonist,0.9992489320699323,9
renin inhibitor,0.003705246955935184,10
retinoid receptor agonist,0.06391041934611823,33
rho associated kinase inhibitor,0.0007360584312769023,20
ribonucleotide reductase inhibitor,0.05391130047632777,20
selective serotonin reuptake inhibitor (SSRI),0.006847533916535261,22
serotonin receptor agonist,0.0015335199851788245,45
serotonin receptor agonist/serotonin receptor antagonist,6.270123260201829e-05,15
serotonin receptor antagonist,0.0021970877427627523,48
serotonin reuptake inhibitor,0.0008362911407247272,9
serotonin transporter (SERT) inhibitor,0.00101444864317399,10
sigma receptor antagonist,0.0032595628244431775,20
sodium channel blocker,0.0021415860869258264,45
sodium/glucose cotransporter inhibitor,0.007762801016446569,10
sodium/potassium/chloride transporter inhibitor,0.0005639198217549881,15
sterol demethylase inhibitor,0.0005016582899073372,19
sulfonylurea,0.00655581302582085,10
tachykinin antagonist,0.02597276839781684,24
thromboxane receptor antagonist,0.003161685381279307,15
thromboxane synthase inhibitor,0.018769648010543667,15
thymidylate synthase inhibitor,-0.00011773343801896492,10
topoisomerase inhibitor,0.11081569525226341,67
tricyclic antidepressant,0.0028173745166615387,7
tryptophan hydroxylase inhibitor,7.08956043377135e-05,10
tubulin polymerization inhibitor,0.37848880720486094,35
tumor necrosis factor release inhibitor,0.0012027889556706036,10
tyrosinase inhibitor,0.0005965757834283266,10
tyrosine kinase inhibitor,0.0008841166346399182,24
vasopressin receptor antagonist,-0.00012018115415858167,17
vesicular monoamine transporter inhibitor,-9.149397237994102e-05,10
vitamin D receptor agonist,0.10093437769542593,20
vitamin K antagonist,0.0031304497784712974,10
voltage-gated sodium channel blocker,0.07319651214035947,15
xanthine oxidase inhibitor,0.001092377320813423,19
